"id","ten_tac_pham","tac_gia","nam","the_loai","phong_trao","thoi_ky","tom_tat","gia_tham_khao_vnd","tiki_link","nguon_gia","ban_thuong_mai","ghi_chu_gia"
"nho_rung","Nhớ rừng","Thế Lữ","1936","Thơ","Thơ Mới","1930-1945","Bài thơ mượn lời con hổ bị nhốt trong vườn bách thú để thể hiện nỗi chán ghét thực tại tù túng, tầm thường và niềm khát khao tự do mãnh liệt cùng nỗi nhớ tiếc quá khứ oai hùng. Tác phẩm tiêu biểu của phong trào Thơ Mới.","35000","https://tiki.vn/search?q=Th%C6%A1%20Th%E1%BA%BF%20L%E1%BB%AF","","Thơ Thế Lữ","Nằm trong tuyển tập 'Thơ Thế Lữ' — giá hiển thị là giá tuyển tập"
"tat_den","Tắt đèn","Ngô Tất Tố","1937","Tiểu thuyết","Hiện thực phê phán","1930-1945","Tiểu thuyết khắc họa số phận cùng cực của chị Dậu, người nông dân phải bán con bán chó để nộp sưu thuế trong xã hội thực dân phong kiến. Tác phẩm tố cáo chính sách sưu thuế tàn bạo và ca ngợi vẻ đẹp, sức phản kháng của người phụ nữ nông dân.","50000","https://tiki.vn/search?q=T%E1%BA%AFt%20%C4%91%C3%A8n%20Ng%C3%B4%20T%E1%BA%A5t%20T%E1%BB%91","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQElFGlZ2tFM5_DCTTpIZtbOB1H8Oc-iVITNYBXyWCF6838qWXi4-rZ72ygpV5XH8HzyOGy4BgPLo59iXqN1hcc6mnGUJA4DA8qcL8NbhGlr5d3vrbK3XmF2ufiRKl_x3xgYyyJT","Bản lẻ (bán riêng)","Bán rời"
"gio_lanh_dau_mua","Gió lạnh đầu mùa","Thạch Lam","1937","Truyện ngắn","Lãng mạn - Trữ tình","1930-1945","Truyện ngắn nhẹ nhàng giàu chất thơ kể về chị em Sơn đem chiếc áo bông cũ cho bé Hiên nghèo trong ngày gió lạnh đầu mùa. Tác phẩm thể hiện tình thương yêu, sự đồng cảm giữa những đứa trẻ và tấm lòng nhân hậu.","43100","https://tiki.vn/search?q=Gi%C3%B3%20l%E1%BA%A1nh%20%C4%91%E1%BA%A7u%20m%C3%B9a%20Th%E1%BA%A1ch%20Lam","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFtjslb69P8EXUeblR_osn5ZWwbHR24QEm5WMwe7WIUCgbhr581En58xVpS_BJaYOBVaf03HfeAGmE4VCVJuGE2JOhWAmE7LS1A30JJVNYYC6yP70YGZ6h17by6tg3iLz2hzBFaHe_vh0HXZiw9pKnc","Bản lẻ (bán riêng)","Bán rời"
"hai_dua_tre","Hai đứa trẻ","Thạch Lam","1938","Truyện ngắn","Lãng mạn - Trữ tình","1930-1945","Truyện ngắn tả cảnh phố huyện nghèo lúc chiều tối qua tâm trạng hai chị em Liên và An thức đợi chuyến tàu đêm. Tác phẩm thể hiện niềm xót thương những kiếp người nhỏ bé, tàn tạ và khát vọng mơ hồ về một cuộc sống tươi sáng hơn.","36800","https://tiki.vn/search?q=Hai%20%C4%91%E1%BB%A9a%20tr%E1%BA%BB%20Th%E1%BA%A1ch%20Lam","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHEVkSAslSSbaVlRlU1T5zuC5a0lVN2sGBoumDqMcQ0gwXesSd7QFG1EfqgrBfbr3xznWD_8O7UGrJaiDh2wDSoZ53E5uIv8IknOIw6-V-IobGQrKRQFz6EwIwhfJVOurS3qoHlBR6Xt44f4gljjXDvl09zBcAvJI4uh-BtPIns2FFvfzeH2HQz7KNbgLPN6ZyKXn0Fcg==","Bản lẻ (bán riêng)","Bán rời"
"buoc_duong_cung","Bước đường cùng","Nguyễn Công Hoan","1938","Tiểu thuyết","Hiện thực phê phán","1930-1945","Tiểu thuyết kể về anh Pha, người nông dân bị địa chủ Nghị Lại dùng thủ đoạn cho vay nặng lãi bóc lột và đẩy vào bước đường cùng. Tác phẩm tố cáo mâu thuẫn giai cấp gay gắt ở nông thôn Việt Nam trước Cách mạng.","59800","https://tiki.vn/search?q=B%C6%B0%E1%BB%9Bc%20%C4%91%C6%B0%E1%BB%9Dng%20c%C3%B9ng%20Nguy%E1%BB%85n%20C%C3%B4ng%20Hoan","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGOVg7eMFmvSqf6t_dowDtq4rckoEYZl5Pskb2WlmvG5OJrHaho4lSViY6bCBM8oS9CL-j5fY4eiPJKBjef60BYQD9AxWKfhS15DlrXP_CZBvxBxip_KOcAwZe9lSim0BfwmpJEqT9cWTxvtqyj6vnS8e64uYuLmw==","Bản lẻ (bán riêng)","Bán rời"
"voi_vang","Vội vàng","Xuân Diệu","1938","Thơ","Thơ Mới","1930-1945","Bài thơ thể hiện quan niệm sống mới mẻ: yêu đời, khát khao tận hưởng vẻ đẹp trần thế và ý thức chạy đua với thời gian trước sự trôi chảy của tuổi trẻ. Tác phẩm tiêu biểu cho hồn thơ sôi nổi, vội vàng của Xuân Diệu.","30950","https://tiki.vn/search?q=V%E1%BB%99i%20v%C3%A0ng%20Xu%C3%A2n%20Di%E1%BB%87u","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQExv3--Cwibs8QQ4ecB9vMT0UU_9CVwMEcsuTStgdHqOMJTgNbU4aNF5SRHlCG1f0XvKWVEy5r8WUF61ll2FIg1_3vK3ymkJRKz7PByA3SzdSdkUT18i-KGJyu4oUMWuc4EjXxssKc6u_wO5D8wj5gKl09OUUNIDHsDh_A13h6wMLCCpdwlh2LO66t5JkeyIPRiEuvdzj0MAHoMiHxOd9ElRZA7n3leUvhlFw==","Bản lẻ (bán riêng)","Bán rời"
"day_thon_vi_da","Đây thôn Vĩ Dạ","Hàn Mặc Tử","1938","Thơ","Thơ Mới","1930-1945","Bài thơ vẽ nên bức tranh thiên nhiên xứ Huế thơ mộng, huyền ảo, đan xen nỗi niềm khắc khoải, cô đơn và khát khao được sống, được yêu của thi sĩ. Một trong những bài thơ nổi tiếng nhất của Hàn Mặc Tử.","34560","https://tiki.vn/search?q=S%C3%A1ch%20Th%C6%A1%20H%C3%A0n%20M%E1%BA%B7c%20T%E1%BB%AD%20-%20V%C4%83n%20H%E1%BB%8Dc%20Trong%20Nh%C3%A0%20Tr%C6%B0%E1%BB%9Dng","","Sách Thơ Hàn Mặc Tử - Văn Học Trong Nhà Trường","Nằm trong tuyển tập 'Sách Thơ Hàn Mặc Tử - Văn Học Trong Nhà Trường' — giá hiển thị là giá tuyển tập"
"trang_giang","Tràng giang","Huy Cận","1939","Thơ","Thơ Mới","1930-1945","Bài thơ mang vẻ đẹp cổ điển mà hiện đại, tả cảnh sông nước mênh mông để bộc lộ nỗi buồn và nỗi cô đơn của cái tôi nhỏ bé trước vũ trụ rộng lớn, cùng tình yêu quê hương thầm kín.","","https://tiki.vn/search?q=Tr%C3%A0ng%20giang%20Huy%20C%E1%BA%ADn","","","Chưa có giá bán rời"
"que_huong_te_hanh","Quê hương","Tế Hanh","1939","Thơ","Thơ Mới","1930-1945","Bài thơ tái hiện hình ảnh làng chài ven biển và cảnh đoàn thuyền ra khơi, trở về với nỗi nhớ quê hương tha thiết của người con xa xứ. Giọng thơ trong trẻo, đằm thắm.","17000","https://tiki.vn/search?q=S%C3%A1ch%20Gi%C3%A1o%20Khoa%20Ng%E1%BB%AF%20V%C4%83n%207%20-%20T%E1%BA%ADp%202%20%28K%E1%BA%BFt%20N%E1%BB%91i%29%20%28Chu%E1%BA%A9n%29","","Sách Giáo Khoa Ngữ Văn 7 - Tập 2 (Kết Nối) (Chuẩn)","Nằm trong tuyển tập 'Sách Giáo Khoa Ngữ Văn 7 - Tập 2 (Kết Nối) (Chuẩn)' — giá hiển thị là giá tuyển tập"
"vang_bong_mot_thoi","Vang bóng một thời","Nguyễn Tuân","1940","Tập truyện ngắn","Lãng mạn","1930-1945","Tập truyện ngắn tái hiện vẻ đẹp của những thú chơi và nếp sống tao nhã của lớp nhà nho tài hoa thời phong kiến đã lụi tàn. Tác phẩm thể hiện tài năng ngôn ngữ và niềm trân trọng những giá trị văn hóa cổ truyền.","76000","https://tiki.vn/search?q=Vang%20b%C3%B3ng%20m%E1%BB%99t%20th%E1%BB%9Di%20Nguy%E1%BB%85n%20Tu%C3%A2n","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF5c4CInjTm7tjBOi3LK7rY062oPFh6eykU6dNRPXDLRY-XcwyJsGpplMZqxBKiF5d0rnxRxv71W2bQFfjhskJNlI5bmZl-SYIGIZcPuwK4bAzcgokQCgHTrqze58PZd8_M","Bản lẻ (bán riêng)","Bán rời"
"chu_nguoi_tu_tu","Chữ người tử tù","Nguyễn Tuân","1940","Truyện ngắn","Lãng mạn","1930-1945","Truyện ngắn kể cảnh Huấn Cao, người tử tù tài hoa khí phách, cho chữ viên quản ngục trong nhà lao. Tác phẩm ca ngợi cái đẹp, cái tài và thiên lương con người, thể hiện quan niệm cái đẹp có thể chiến thắng cái xấu, cái ác.","76000","https://tiki.vn/search?q=Vang%20b%C3%B3ng%20m%E1%BB%99t%20th%E1%BB%9Di%20Nguy%E1%BB%85n%20Tu%C3%A2n","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHZQTYdDB9g7wIDcCfpPHyqZZNXXpiQBEPttTybRyUmVUGZS6YXSQYGHkm5Rl9J1_RL1FySqCGteTlce7f3g-axr3Uj73w26sH2ZsOoaLrryj6piSZYaSfCF_LvCxVYr-SOcErpEa4KLXpsxmjKViQYRzEb-MdaSFw=","Vang bóng một thời","Nằm trong tuyển tập 'Vang bóng một thời' — giá hiển thị là giá tuyển tập"
"chi_pheo","Chí Phèo","Nam Cao","1941","Truyện ngắn","Hiện thực phê phán","1930-1945","Truyện ngắn kể bi kịch của Chí Phèo, người nông dân lương thiện bị xã hội thực dân phong kiến đẩy vào con đường lưu manh hóa, khao khát hoàn lương nhưng bị cự tuyệt nên giết Bá Kiến rồi tự sát. Tác phẩm là tiếng kêu cứu về quyền làm người.","37500","https://tiki.vn/search?q=Ch%C3%AD%20Ph%C3%A8o%20Nam%20Cao","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFWZZyxfSrjGjpeSr4Hif_xK48u-ux7pn-e0YN7cf4FQ2r4X68Yx1Q1IM95eS_4cTEoHBjYns2OAgWy9TCWL-WyrTsPIIcIJtsipgFMLeMGIvNTVsOK6CSrjVJd1SqcShEMr0almRSus6Son33sNVUFr0SKhrY=","Bản lẻ (bán riêng)","Bán rời"
"de_men","Dế Mèn phiêu lưu ký","Tô Hoài","1941","Truyện đồng thoại","Văn học thiếu nhi","1930-1945","Truyện đồng thoại kể về những cuộc phiêu lưu của chú Dế Mèn cường tráng nhưng ban đầu kiêu ngạo, dần trưởng thành và rút ra bài học sống. Tác phẩm gửi gắm ước mơ về một thế giới đại đồng, hòa bình, bác ái.","50000","https://tiki.vn/search?q=D%E1%BA%BF%20M%C3%A8n%20phi%C3%AAu%20l%C6%B0u%20k%C3%BD%20T%C3%B4%20Ho%C3%A0i","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHYW9vUO-YY0gtaGhp36kEvePDdY4BkcIHLTl1jaXBh7TR5mSos-8074mMn3oN7HK4ZyvvijcxxHJILgIRILXKakv0-Gx9NXcgrr50JFNEKla3TFEGCXGtVa_HL8smXZXABezEiucT1EctwCcCvd9Tw6eQ=","Bản lẻ (bán riêng)","Bán rời"
"lao_hac","Lão Hạc","Nam Cao","1943","Truyện ngắn","Hiện thực phê phán","1930-1945","Truyện ngắn kể về lão Hạc, người nông dân nghèo góa vợ, phải bán con chó cậu Vàng rồi ăn bả chó tự tử để giữ trọn nhân cách và mảnh vườn cho con. Tác phẩm thể hiện số phận đau thương và vẻ đẹp tâm hồn người nông dân.","55000","https://tiki.vn/search?q=Nam%20Cao%20-%20L%C3%A3o%20H%E1%BA%A1c%20%28T%C3%A1i%20B%E1%BA%A3n%29","","Nam Cao - Lão Hạc (Tái Bản)","Nằm trong tuyển tập 'Nam Cao - Lão Hạc (Tái Bản)' — giá hiển thị là giá tuyển tập"
"doi_thua","Đời thừa","Nam Cao","1943","Truyện ngắn","Hiện thực phê phán","1930-1945","Truyện ngắn viết về bi kịch tinh thần của nhà văn nghèo Hộ, người mang khát vọng văn chương cao đẹp nhưng bị gánh nặng cơm áo ghì sát đất, trở thành đời thừa. Tác phẩm thể hiện tấn bi kịch của người trí thức trước Cách mạng.","39900","https://tiki.vn/search?q=%C4%90%E1%BB%9Di%20th%E1%BB%ABa%20Nam%20Cao","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEtOwEboyrtP1KgHC-vp1nvEEPs4eKsXj8MLbMdXXZPtNP4ZAjFKgJqrGR2qpDQ-Dbge6CKPnUR71z0EjXdGrk_ew9g9wRt4HS3U5mRbP51AjLohNXZ4UTbgmwOG65k","Bản lẻ (bán riêng)","Bán rời"
"nhat_ky_trong_tu","Nhật ký trong tù","Hồ Chí Minh","1943","Thơ","Văn học cách mạng","1930-1945","Tập thơ chữ Hán gồm 133 bài Bác Hồ viết trong thời gian bị chính quyền Tưởng Giới Thạch giam cầm. Tác phẩm thể hiện tâm hồn cao đẹp, ý chí kiên cường, tinh thần lạc quan và lòng yêu nước thương dân của người chiến sĩ cách mạng.","40000","https://tiki.vn/search?q=Nh%E1%BA%ADt%20k%C3%BD%20trong%20t%C3%B9%20H%E1%BB%93%20Ch%C3%AD%20Minh","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGBeh_6BJQfLYgPuSlCA_ZLBsMEVHC-qbuaoPLb7geFk2ernifghh5sCd9QO65qLjM6jB60wGmiRdIpaivW_5eFJuGHmbxg4NgbDDX4BjwnEUxVJzo4-tyU1C0mUI6Enb3A7uEE6TUKiGWsUQ==","Bản lẻ (bán riêng)","Bán rời"
"lang_kim_lan","Làng","Kim Lân","1948","Truyện ngắn","Văn học kháng chiến chống Pháp","Kháng chiến chống Pháp","Truyện ngắn kể tâm trạng ông Hai, người nông dân yêu làng yêu nước, khi nghe tin làng Chợ Dầu theo giặc rồi vỡ òa sung sướng khi tin ấy được cải chính. Tác phẩm thể hiện tình yêu làng quê hòa quyện lòng yêu nước của người nông dân kháng chiến.","68000","https://tiki.vn/search?q=L%C3%A0ng%20Kim%20L%C3%A2n","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFg3DaDkF5fbod0xpcBwU2cOuLsO5qXtV5jLUxKYOGZTmWXUbeSVpIPRh7fyLIySJklQ4abptqdE3Vkb3avmrf5AclPkW1FZCi4SzPgGEibZwAJtdo0s32cIc4bHoAup-RQzKOzETc=","Bản lẻ (bán riêng)","Bán rời"
"doi_mat","Đôi mắt","Nam Cao","1948","Truyện ngắn","Văn học kháng chiến chống Pháp","Kháng chiến chống Pháp","Truyện ngắn nêu vấn đề đôi mắt, tức cách nhìn và lập trường của người trí thức đối với nhân dân và cuộc kháng chiến, qua hai nhân vật văn sĩ Hoàng và Độ. Tác phẩm được xem như tuyên ngôn nghệ thuật của lớp nhà văn kháng chiến.","52500","https://tiki.vn/search?q=%C4%90%C3%B4i%20m%E1%BA%AFt%20Nam%20Cao","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGxr7uP_SaWKsnuFBh1jwZ2FNifdSQSW3mnxUoH1f7jTQdUDibFqB8tXs0yXPn4i5YpRNwEpwu45scKIXWEuBBohO60ofEWattcBuEjgZ-2hIN2y1nbQnJX80LJHOeL","Bản lẻ (bán riêng)","Bán rời"
"dong_chi","Đồng chí","Chính Hữu","1948","Thơ","Văn học kháng chiến chống Pháp","Kháng chiến chống Pháp","Bài thơ ca ngợi tình đồng chí đồng đội keo sơn của những người lính xuất thân nông dân trong kháng chiến chống Pháp, cùng chung lý tưởng và chia sẻ gian khổ. Hình ảnh đầu súng trăng treo khép lại bài thơ đầy chất thơ.","45000","https://tiki.vn/search?q=%C4%90%E1%BA%A7u%20s%C3%BAng%20tr%C4%83ng%20treo","","Đầu súng trăng treo","Nằm trong tuyển tập 'Đầu súng trăng treo' — giá hiển thị là giá tuyển tập"
"tay_tien","Tây Tiến","Quang Dũng","1948","Thơ","Văn học kháng chiến chống Pháp","Kháng chiến chống Pháp","Bài thơ khắc họa hình ảnh người lính Tây Tiến hào hoa lãng mạn mà bi tráng trên nền thiên nhiên miền Tây hùng vĩ, dữ dội. Tác phẩm thể hiện nỗi nhớ và niềm tự hào về đoàn quân Tây Tiến.","32400","https://tiki.vn/search?q=T%C3%A2y%20Ti%E1%BA%BFn%20Quang%20D%C5%A9ng","https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGgfPgUfZrtKiKsr9HEQGfE1VChABtfk7IZpZtmfU_0Q_n32AQflwBUmjYCO3ZjylZCbyPsyF-NTWwAjosqrn0NC_vDm7JJ9KCx6-NVDkECeM6kA6gFjgA5lPl1WEHfidT3","Bản lẻ (bán riêng)","Bán rời"
"vo_chong_a_phu","Vợ chồng A Phủ","Tô Hoài","1952","Truyện ngắn","Văn học Cách mạng","Kháng chiến chống Pháp","Truyện ngắn kể về Mị và A Phủ, những người dân nghèo miền núi Tây Bắc bị cha con thống lý Pá Tra áp bức, vùng lên tự giải phóng và đi theo cách mạng. Tác phẩm ca ngợi sức sống tiềm tàng và con đường giải phóng của người dân.","50000","https://tiki.vn/search?q=Truy%E1%BB%87n%20T%C3%A2y%20B%E1%BA%AFc","","Truyện Tây Bắc","Nằm trong tuyển tập 'Truyện Tây Bắc' — giá hiển thị là giá tuyển tập"
"viet_bac","Việt Bắc","Tố Hữu","1954","Thơ","Văn học kháng chiến chống Pháp","Kháng chiến chống Pháp","Bài thơ viết nhân dịp cơ quan trung ương rời chiến khu Việt Bắc, thể hiện nghĩa tình thủy chung giữa người cán bộ kháng chiến và nhân dân Việt Bắc qua lối đối đáp mình - ta đậm chất dân gian.","50600","https://tiki.vn/search?q=Th%C6%A1%20T%E1%BB%91%20H%E1%BB%AFu","","Thơ Tố Hữu","Nằm trong tuyển tập 'Thơ Tố Hữu' — giá hiển thị là giá tuyển tập"
